[2025-05-26 16:11:46,295]  15 root - INFO - INtitiate data ingestion
[2025-05-26 16:11:50,574]  60 root - INFO - Performed train test split on dataframe
[2025-05-26 16:11:50,574]  62 root - INFO - Excited split_data_as_train_test_split  method
[2025-05-26 16:11:50,575]  66 root - INFO - Exporting train and test file path
[2025-05-26 16:11:50,776]  71 root - INFO - Exported train test file path
[2025-05-26 16:11:50,778]  17 root - INFO - Data ingestion completed
[2025-05-26 16:11:50,792]  21 root - INFO - INtitiate data validation
[2025-05-26 16:11:51,047]  32 root - INFO - Required no of cols:2
[2025-05-26 16:11:51,048]  33 root - INFO - Dataframe has columns:31
[2025-05-26 16:11:51,048]  32 root - INFO - Required no of cols:2
[2025-05-26 16:11:51,048]  33 root - INFO - Dataframe has columns:31
[2025-05-26 16:11:51,508]  23 root - INFO - Data validation completed
[2025-05-26 16:11:51,508]  26 root - INFO - INtitiate data  transformation
[2025-05-26 16:11:51,509]  52 root - INFO - Entered initiate data transformation method of Data Transformation 
[2025-05-26 16:11:51,509]  54 root - INFO - Starting Data Transformation
