[2025-05-26 16:10:54,082]  15 root - INFO - INtitiate data ingestion
[2025-05-26 16:11:01,782]  60 root - INFO - Performed train test split on dataframe
[2025-05-26 16:11:01,782]  62 root - INFO - Excited split_data_as_train_test_split  method
[2025-05-26 16:11:01,783]  66 root - INFO - Exporting train and test file path
[2025-05-26 16:11:02,268]  71 root - INFO - Exported train test file path
[2025-05-26 16:11:02,273]  17 root - INFO - Data ingestion completed
[2025-05-26 16:11:02,299]  21 root - INFO - INtitiate data validation
[2025-05-26 16:11:02,924]  32 root - INFO - Required no of cols:2
[2025-05-26 16:11:02,925]  33 root - INFO - Dataframe has columns:31
[2025-05-26 16:11:02,926]  32 root - INFO - Required no of cols:2
[2025-05-26 16:11:02,926]  33 root - INFO - Dataframe has columns:31
[2025-05-26 16:11:04,114]  23 root - INFO - Data validation completed
[2025-05-26 16:11:04,115]  26 root - INFO - INtitiate data  transformation
[2025-05-26 16:11:04,115]  52 root - INFO - Entered initiate data transformation method of Data Transformation 
[2025-05-26 16:11:04,115]  54 root - INFO - Starting Data Transformation
