[2025-06-06 19:57:38,288]  16 root - INFO - INtitiate data ingestion
[2025-06-06 19:57:43,086]  60 root - INFO - Performed train test split on dataframe
[2025-06-06 19:57:43,086]  62 root - INFO - Excited split_data_as_train_test_split  method
[2025-06-06 19:57:43,093]  66 root - INFO - Exporting train and test file path
[2025-06-06 19:57:43,300]  71 root - INFO - Exported train test file path
[2025-06-06 19:57:43,301]  18 root - INFO - Data ingestion completed
[2025-06-06 19:57:43,334]  22 root - INFO - INtitiate data validation
[2025-06-06 19:57:43,565]  32 root - INFO - Required no of cols:2
[2025-06-06 19:57:43,565]  33 root - INFO - Dataframe has columns:31
[2025-06-06 19:57:43,565]  32 root - INFO - Required no of cols:2
[2025-06-06 19:57:43,565]  33 root - INFO - Dataframe has columns:31
[2025-06-06 19:57:44,131]  24 root - INFO - Data validation completed
[2025-06-06 19:57:44,133]  27 root - INFO - INtitiate data  transformation
[2025-06-06 19:57:44,133]  52 root - INFO - Entered initiate data transformation method of Data Transformation 
[2025-06-06 19:57:44,133]  54 root - INFO - Starting Data Transformation
[2025-06-06 19:57:44,330]  41 root - INFO - Enter  get_data_transfomer_object  of DataTrsnformationClass
[2025-06-06 19:57:44,331]  44 root - INFO - Initialize Knnimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-06 19:57:44,391]  47 root - INFO - Entered the save object method of mainutils class
[2025-06-06 19:57:44,401]  51 root - INFO - Exited the save object os mainutils class
[2025-06-06 19:57:44,406]  31 root - INFO - Data transformation completed
[2025-06-06 19:57:44,406]  34 root - INFO - Model training started
[2025-06-06 20:10:55,497]  47 root - INFO - Entered the save object method of mainutils class
[2025-06-06 20:10:55,572]  51 root - INFO - Exited the save object os mainutils class
[2025-06-06 20:10:55,573]  110 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\20250606195706\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(precision=0.9890220566018733, recall=0.9935248887090247, f1_score=0.9912683591581285), test_metric_artifact=ClassificationMetricArtifact(precision=0.9808865392435949, recall=0.9925925925925926, f1_score=0.9867048476170996))
[2025-06-06 20:10:55,583]  38 root - INFO - Model training completed
