[2025-05-26 16:23:42,831]  15 root - INFO - INtitiate data ingestion
[2025-05-26 16:23:48,078]  60 root - INFO - Performed train test split on dataframe
[2025-05-26 16:23:48,079]  62 root - INFO - Excited split_data_as_train_test_split  method
[2025-05-26 16:23:48,080]  66 root - INFO - Exporting train and test file path
[2025-05-26 16:23:48,401]  71 root - INFO - Exported train test file path
[2025-05-26 16:23:48,404]  17 root - INFO - Data ingestion completed
[2025-05-26 16:23:48,429]  21 root - INFO - INtitiate data validation
[2025-05-26 16:23:48,640]  32 root - INFO - Required no of cols:2
[2025-05-26 16:23:48,647]  33 root - INFO - Dataframe has columns:31
[2025-05-26 16:23:48,648]  32 root - INFO - Required no of cols:2
[2025-05-26 16:23:48,648]  33 root - INFO - Dataframe has columns:31
[2025-05-26 16:23:49,114]  23 root - INFO - Data validation completed
[2025-05-26 16:23:49,114]  26 root - INFO - INtitiate data  transformation
[2025-05-26 16:23:49,114]  52 root - INFO - Entered initiate data transformation method of Data Transformation 
[2025-05-26 16:23:49,114]  54 root - INFO - Starting Data Transformation
